sku,category,grossValue,maker,name,quantity,highPrecisionQuantity,branchName
SKU58904,Furniture,162.36,BrandC,Tablet,8,888,South Branch
SKU33355,Toys,604.68,BrandD,Wireless Earbuds,84,340,North Branch
SKU50271,Beauty,807.1,BrandB,Office Chair,62,196,Central Depot
SKU54217,Automotive,745.12,BrandD,Blender,87,775,Central Depot
SKU41523,Kitchen,494.42,BrandC,Blender,30,712,Central Depot
SKU47018,Clothing,311.42,BrandA,Tablet,72,297,Main Warehouse
SKU96063,Clothing,956.1,BrandD,Blender,46,305,North Branch
SKU77455,Electronics,778.98,BrandD,Headphones,16,176,Central Depot
SKU58317,Beauty,789.34,BrandB,Laptop,36,757,Secondary Warehouse
SKU32911,Automotive,981.08,BrandB,Desk Lamp,49,834,Secondary Warehouse
SKU84802,Kitchen,393.91,BrandC,Gaming Console,73,575,Main Warehouse
SKU67092,Clothing,606.47,BrandC,Laptop,12,223,Main Warehouse
SKU83648,Automotive,886.52,BrandA,Tablet,34,227,South Branch
SKU20574,Furniture,933.64,BrandE,Smartphone,11,397,North Branch
SKU45014,Sports,311.31,BrandA,Smartphone,14,320,North Branch
SKU54049,Sports,396.53,BrandE,Laptop,62,863,North Branch
SKU63473,Beauty,644.97,BrandD,Laptop,72,555,Secondary Warehouse
SKU73141,Sports,213.87,BrandE,Gaming Console,87,503,Main Warehouse
SKU37439,Toys,285.55,BrandA,Office Chair,36,419,Central Depot
SKU45624,Automotive,781.61,BrandE,Gaming Console,3,638,Main Warehouse
SKU54700,Kitchen,638.26,BrandE,Running Shoes,25,849,Secondary Warehouse
SKU73647,Automotive,312.34,BrandE,Smartphone,99,806,Central Depot
SKU11836,Kitchen,881.54,BrandC,Laptop,56,996,Central Depot
SKU92259,Toys,211.86,BrandA,Office Chair,91,781,South Branch
SKU24444,Furniture,389.46,BrandA,Smartphone,51,352,Main Warehouse
SKU53780,Beauty,845.61,BrandA,Office Chair,34,18,Central Depot
SKU59874,Automotive,36.87,BrandE,Headphones,98,862,Secondary Warehouse
SKU76055,Automotive,776.95,BrandD,Desk Lamp,39,746,Secondary Warehouse
SKU39259,Clothing,685.86,BrandD,Desk Lamp,37,24,Main Warehouse
SKU23734,Kitchen,482.78,BrandD,Headphones,71,851,Secondary Warehouse
SKU57901,Kitchen,454.15,BrandB,Tablet,37,428,Secondary Warehouse
SKU68848,Sports,235.71,BrandB,Blender,94,45,Central Depot
SKU97037,Beauty,343.9,BrandC,Laptop,11,420,Central Depot
SKU93942,Electronics,283.18,BrandB,Headphones,79,84,Main Warehouse
SKU66633,Toys,677.13,BrandD,Gaming Console,16,450,North Branch
SKU84156,Toys,109.24,BrandC,Blender,2,229,Main Warehouse
SKU13465,Toys,998.42,BrandA,Gaming Console,39,838,Central Depot
SKU19726,Furniture,251.31,BrandC,Running Shoes,73,501,North Branch
SKU38191,Electronics,596.59,BrandE,Laptop,29,706,South Branch
SKU76234,Automotive,111.05,BrandA,Running Shoes,94,286,Main Warehouse
SKU16529,Sports,807.35,BrandC,Running Shoes,1,907,Central Depot
SKU77085,Toys,282.15,BrandE,Laptop,98,26,Main Warehouse
SKU26476,Furniture,817.24,BrandE,Tablet,10,820,Secondary Warehouse
SKU62872,Kitchen,120.25,BrandA,Wireless Earbuds,51,531,North Branch
SKU99551,Furniture,565.77,BrandC,Wireless Earbuds,60,115,South Branch
SKU16539,Beauty,686.6,BrandC,Headphones,88,689,Secondary Warehouse
SKU69586,Electronics,305.74,BrandB,Smartphone,96,23,Secondary Warehouse
SKU78299,Electronics,735.06,BrandC,Wireless Earbuds,14,863,South Branch
SKU89620,Beauty,324.73,BrandD,Blender,51,604,South Branch
SKU90220,Beauty,57.31,BrandC,Desk Lamp,6,113,Secondary Warehouse
SKU49345,Beauty,971.19,BrandE,Office Chair,76,457,North Branch
SKU80765,Automotive,190.78,BrandB,Laptop,47,920,South Branch
SKU73607,Automotive,735.23,BrandD,Tablet,16,399,North Branch
SKU80349,Toys,655.41,BrandC,Office Chair,31,435,Secondary Warehouse
SKU21486,Sports,422.16,BrandE,Laptop,61,195,Main Warehouse
SKU71524,Sports,883.67,BrandB,Tablet,88,882,North Branch
SKU10170,Automotive,857.25,BrandA,Office Chair,86,430,Secondary Warehouse
SKU28296,Toys,151.67,BrandB,Desk Lamp,78,889,North Branch
SKU69333,Electronics,480.09,BrandC,Wireless Earbuds,19,328,North Branch
SKU11790,Beauty,241.65,BrandB,Headphones,14,693,Central Depot
SKU89592,Beauty,143.14,BrandE,Running Shoes,72,703,Main Warehouse
SKU21956,Sports,866.83,BrandD,Running Shoes,86,948,Main Warehouse
SKU36231,Sports,468.61,BrandC,Desk Lamp,84,714,Central Depot
SKU21101,Kitchen,171.85,BrandD,Office Chair,28,844,Central Depot
SKU49227,Beauty,396.66,BrandA,Running Shoes,49,51,Main Warehouse
SKU48946,Sports,145.96,BrandC,Headphones,36,304,Secondary Warehouse
SKU95422,Furniture,297.68,BrandC,Tablet,20,614,Secondary Warehouse
SKU29500,Sports,372.81,BrandD,Smartphone,1,654,Main Warehouse
SKU52169,Sports,726.48,BrandE,Tablet,16,6,North Branch
SKU94042,Toys,681.03,BrandB,Office Chair,38,199,Central Depot
SKU33827,Automotive,63.63,BrandB,Laptop,83,646,North Branch
