id,key,value
1,SpecialOffer,HolidaySale2024
2,DiscountApplied,20%
3,MembershipLevel,Bronze
4,SpecialOffer,WinterSale2024
5,SpecialOffer,WinterSale2024
6,SpecialOffer,HolidaySale2024
7,DiscountApplied,10%
8,DiscountApplied,10%
9,PriorityCustomer,Yes
10,PriorityCustomer,No
11,PriorityCustomer,No
12,MembershipLevel,Bronze
13,SpecialOffer,HolidaySale2024
14,DiscountApplied,10%
15,MembershipLevel,Silver
16,DiscountApplied,40%
17,SpecialOffer,HolidaySale2024
18,MembershipLevel,Silver
19,PriorityCustomer,No
20,PriorityCustomer,No
21,DiscountApplied,30%
22,PriorityCustomer,No
23,SpecialOffer,SummerSale2024
24,SpecialOffer,SpringSale2024
25,MembershipLevel,Silver
26,MembershipLevel,Silver
27,PriorityCustomer,No
28,SpecialOffer,SpringSale2024
29,SpecialOffer,SpringSale2024
30,MembershipLevel,Silver
31,PriorityCustomer,No
32,DiscountApplied,20%
33,MembershipLevel,Platinum
34,SpecialOffer,HolidaySale2024
35,MembershipLevel,Bronze
36,PriorityCustomer,Yes
37,SpecialOffer,SpringSale2024
38,MembershipLevel,Silver
39,MembershipLevel,Bronze
40,MembershipLevel,Gold
41,DiscountApplied,20%
42,PriorityCustomer,No
43,PriorityCustomer,No
44,MembershipLevel,Silver
45,DiscountApplied,10%
46,DiscountApplied,20%
47,MembershipLevel,Bronze
48,PriorityCustomer,Yes
49,PriorityCustomer,Yes
50,SpecialOffer,HolidaySale2024
51,DiscountApplied,20%
52,MembershipLevel,Silver
53,PriorityCustomer,Yes
54,SpecialOffer,SpringSale2024
55,PriorityCustomer,Yes
56,SpecialOffer,SummerSale2024
57,MembershipLevel,Silver
58,PriorityCustomer,Yes
59,SpecialOffer,WinterSale2024
60,MembershipLevel,Gold
61,MembershipLevel,Silver
62,DiscountApplied,20%
63,PriorityCustomer,No
64,DiscountApplied,10%
65,MembershipLevel,Bronze
66,SpecialOffer,WinterSale2024
67,MembershipLevel,Silver
68,PriorityCustomer,Yes
69,MembershipLevel,Platinum
70,SpecialOffer,SpringSale2024
71,MembershipLevel,Bronze
72,DiscountApplied,30%
73,DiscountApplied,20%
74,PriorityCustomer,Yes
75,MembershipLevel,Bronze
76,PriorityCustomer,No
77,DiscountApplied,10%
78,MembershipLevel,Gold
79,DiscountApplied,30%
80,SpecialOffer,WinterSale2024
81,PriorityCustomer,Yes
82,DiscountApplied,10%
83,SpecialOffer,HolidaySale2024
84,PriorityCustomer,Yes
85,DiscountApplied,30%
86,MembershipLevel,Bronze
87,MembershipLevel,Bronze
88,MembershipLevel,Platinum
89,MembershipLevel,Bronze
90,PriorityCustomer,Yes
91,PriorityCustomer,Yes
92,DiscountApplied,40%
93,SpecialOffer,SpringSale2024
94,MembershipLevel,Bronze
95,PriorityCustomer,No
96,DiscountApplied,40%
97,PriorityCustomer,Yes
98,DiscountApplied,30%
99,SpecialOffer,HolidaySale2024
100,SpecialOffer,HolidaySale2024
101,DiscountApplied,40%
102,PriorityCustomer,Yes
103,MembershipLevel,Gold
104,PriorityCustomer,Yes
105,SpecialOffer,SpringSale2024
106,SpecialOffer,SummerSale2024
