id,key,value
1,Weight,750 g
2,Dimensions,20x15x10 cm
3,Material,Plastic
4,Weight,750 g
5,Color,Black
6,Warranty,2 Years
7,Dimensions,30x20x15 cm
8,Warranty,3 Years
9,Weight,750 g
10,Color,White
11,Color,Blue
12,Color,Green
13,Size,Medium
14,Warranty,1 Year
15,Size,Large
16,Material,Wood
17,Material,Plastic
18,Size,Large
19,Color,Black
20,Warranty,1 Year
21,Weight,2 kg
22,Size,Medium
23,Weight,3 kg
24,Weight,750 g
25,Color,Green
26,Warranty,2 Years
27,Color,Red
28,Color,White
29,Warranty,3 Years
30,Weight,750 g
31,Warranty,3 Years
32,Color,Black
33,Weight,1 kg
34,Dimensions,50x40x30 cm
35,Color,Blue
36,Color,Blue
37,Color,Green
38,Color,Red
39,Size,Large
40,Warranty,2 Years
41,Warranty,2 Years
42,Material,Plastic
43,Size,Extra Large
44,Dimensions,10x10x10 cm
45,Warranty,2 Years
46,Weight,750 g
47,Color,Blue
48,Weight,3 kg
49,Dimensions,30x20x15 cm
50,Warranty,1 Year
51,Material,Metal
52,Color,Green
53,Warranty,2 Years
54,Material,Plastic
55,Color,Red
56,Material,Metal
57,Color,Red
58,Color,Blue
59,Material,Metal
60,Color,Red
61,Size,Extra Large
62,Material,Metal
63,Material,Wood
64,Dimensions,10x10x10 cm
65,Color,Green
66,Dimensions,20x15x10 cm
67,Material,Metal
68,Warranty,2 Years
69,Color,Blue
70,Warranty,3 Years
71,Size,Medium
72,Dimensions,10x10x10 cm
73,Warranty,3 Years
74,Material,Wood
75,Color,Blue
76,Warranty,3 Years
77,Weight,500 g
78,Warranty,2 Years
79,Weight,2 kg
80,Dimensions,50x40x30 cm
81,Size,Small
82,Weight,1 kg
83,Dimensions,50x40x30 cm
84,Color,White
85,Dimensions,10x10x10 cm
86,Warranty,2 Years
87,Color,Black
88,Color,Black
89,Size,Medium
90,Material,Plastic
91,Dimensions,50x40x30 cm
92,Dimensions,30x20x15 cm
93,Dimensions,30x20x15 cm
94,Size,Extra Large
95,Warranty,2 Years
96,Warranty,2 Years
97,Warranty,1 Year
98,Warranty,1 Year
99,Color,Red
100,Color,Green
101,Weight,500 g
102,Warranty,2 Years
103,Size,Large
104,Warranty,3 Years
105,Weight,2 kg
106,Size,Extra Large
107,Weight,3 kg
108,Weight,1 kg
109,Weight,1 kg
110,Size,Small
111,Material,Metal
112,Warranty,1 Year
113,Dimensions,10x10x10 cm
114,Color,Green
115,Color,Red
116,Material,Metal
