itemId,sku
1,SKU73017
2,SKU68048
3,SKU82671
4,SKU62874
5,SKU90665
7,SKU34200
9,SKU77611
10,SKU46369
11,SKU30802
12,SKU76185
16,SKU89203
17,SKU80218
19,SKU11323
21,SKU92806
23,SKU46665
24,SKU24548
25,SKU46466
27,SKU10736
28,SKU88827
30,SKU78015
32,SKU43720
33,SKU69808
34,SKU97854
35,SKU37555
36,SKU83246
37,SKU84728
38,SKU66079
42,SKU99641
44,SKU77273
46,SKU59008
47,SKU84452
48,SKU28789
49,SKU86103
51,SKU45410
52,SKU47019
54,SKU34639
55,SKU88636
56,SKU22005
57,SKU24431
58,SKU55012
59,SKU20673
60,SKU11794
62,SKU33170
63,SKU21792
64,SKU24851
65,SKU69849
66,SKU36052
67,SKU73988
69,SKU66642
72,SKU68246
74,SKU42492
75,SKU76858
77,SKU83763
79,SKU18145
80,SKU80593
82,SKU44088
83,SKU59121
84,SKU16260
85,SKU41533
87,SKU14163
88,SKU42233
90,SKU30038
91,SKU43050
92,SKU65293
93,SKU15351
99,SKU24794
100,SKU63530
101,SKU78140
105,SKU78189
107,SKU36913
108,SKU60205
109,SKU69533
111,SKU90740
113,SKU66341
114,SKU37387
115,SKU93935
116,SKU68843
118,SKU29150
120,SKU64403
122,SKU59447
123,SKU42882
124,SKU57138
125,SKU41903
126,SKU15742
128,SKU87735
130,SKU62523
132,SKU79046
133,SKU79726
134,SKU26687
136,SKU67748
139,SKU81718
141,SKU46702
143,SKU76605
144,SKU73819
147,SKU64104
149,SKU60023
153,SKU19379
155,SKU87055
156,SKU65357
157,SKU67924
159,SKU78348
160,SKU72506
161,SKU26264
162,SKU44542
168,SKU88388
169,SKU46972
170,SKU96608
171,SKU70359
172,SKU82509
173,SKU43420
174,SKU78631
177,SKU30412
178,SKU69305
179,SKU93126
180,SKU18788
182,SKU50912
183,SKU86327
185,SKU89555
186,SKU23798
187,SKU55497
188,SKU89848
189,SKU86483
190,SKU48509
191,SKU36613
192,SKU23279
194,SKU72473
195,SKU50300
196,SKU17290
198,SKU64528
200,SKU36435
202,SKU32366
203,SKU55557
205,SKU66027
206,SKU63506
208,SKU27025
210,SKU66967
211,SKU76014
212,SKU65758
213,SKU36860
214,SKU72161
217,SKU19855
218,SKU40230
219,SKU66294
220,SKU25691
222,SKU75844
224,SKU44077
225,SKU31210
226,SKU52713
227,SKU37472
228,SKU80752
231,SKU79930
232,SKU72618
233,SKU13434
235,SKU19000
237,SKU87825
240,SKU15012
241,SKU53759
242,SKU23179
244,SKU95560
247,SKU55197
250,SKU90086
251,SKU31282
252,SKU21024
254,SKU31877
255,SKU18233
256,SKU60137
258,SKU88212
259,SKU12420
260,SKU31618
261,SKU83817
262,SKU42255
263,SKU93151
264,SKU42182
265,SKU43203
267,SKU87228
269,SKU95794
273,SKU98693
276,SKU35883
278,SKU26300
279,SKU26268
280,SKU83417
283,SKU91971
288,SKU30831
290,SKU77561
291,SKU40079
292,SKU16313
293,SKU96574
294,SKU46957
295,SKU25565
298,SKU18335
299,SKU61787
300,SKU87087
302,SKU94477
303,SKU55767
304,SKU42828
305,SKU21586
306,SKU91935
307,SKU59984
308,SKU55636
310,SKU56288
311,SKU46496
313,SKU58439
314,SKU67873
315,SKU70940
316,SKU28909
317,SKU84057
318,SKU78557
320,SKU78919
322,SKU17556
323,SKU36808
324,SKU58773
325,SKU35475
326,SKU36717
327,SKU28526
328,SKU22971
329,SKU75404
330,SKU36435
331,SKU90497
332,SKU17709
334,SKU56561
335,SKU84693
336,SKU91986
337,SKU17287
338,SKU18605
339,SKU90193
341,SKU58013
342,SKU43659
343,SKU72680
344,SKU79602
345,SKU21406
348,SKU59146
353,SKU29919
354,SKU45641
355,SKU66098
356,SKU10796
357,SKU66308
359,SKU55852
360,SKU55726
361,SKU66084
362,SKU80964
363,SKU72088
364,SKU41215
366,SKU18936
367,SKU70025
369,SKU72380
372,SKU40906
373,SKU80679
374,SKU80964
375,SKU84404
377,SKU47746
378,SKU61278
379,SKU59957
383,SKU35389
384,SKU53979
386,SKU37366
387,SKU52607
394,SKU28616
395,SKU79852
398,SKU48990
401,SKU10938
402,SKU93107
403,SKU62174
404,SKU19322
405,SKU21016
406,SKU55386
409,SKU44293
410,SKU55271
413,SKU36372
414,SKU53378
415,SKU50300
417,SKU88201
418,SKU61141
419,SKU40015
420,SKU13303
421,SKU68108
425,SKU51644
426,SKU63360
427,SKU45888
428,SKU48592
429,SKU34587
430,SKU24425
431,SKU40774
432,SKU98769
433,SKU62832
435,SKU42733
437,SKU72583
438,SKU94100
439,SKU57776
442,SKU16877
443,SKU65102
444,SKU50617
446,SKU79046
451,SKU98661
452,SKU90445
454,SKU74808
455,SKU95374
456,SKU17407
460,SKU68861
461,SKU50141
462,SKU73563
463,SKU20016
464,SKU38564
465,SKU56178
469,SKU19052
470,SKU66041
471,SKU13431
473,SKU79043
476,SKU35457
477,SKU23778
478,SKU81466
481,SKU68535
482,SKU64179
484,SKU91654
485,SKU44455
486,SKU63153
487,SKU85896
489,SKU50944
490,SKU22414
492,SKU31271
493,SKU89803
494,SKU43772
495,SKU98305
500,SKU16527
502,SKU77994
503,SKU55846
504,SKU86164
505,SKU97490
510,SKU50680
511,SKU49015
513,SKU16674
514,SKU55557
515,SKU12277
516,SKU12137
517,SKU58286
518,SKU38125
520,SKU49224
521,SKU45699
522,SKU31120
523,SKU82839
524,SKU69843
525,SKU28933
526,SKU37318
530,SKU77223
531,SKU36466
532,SKU26232
533,SKU98968
534,SKU11292
535,SKU73881
536,SKU76055
540,SKU29743
541,SKU12506
544,SKU47185
545,SKU77414
548,SKU19302
549,SKU15813
550,SKU59103
551,SKU91857
552,SKU73593
553,SKU97984
554,SKU39578
556,SKU72257
557,SKU18047
560,SKU91532
561,SKU73402
563,SKU35242
565,SKU32263
566,SKU24106
567,SKU24084
568,SKU57657
569,SKU36634
574,SKU70162
575,SKU21398
576,SKU75509
578,SKU47802
579,SKU93062
580,SKU26295
585,SKU93062
586,SKU99662
587,SKU52691
589,SKU66123
590,SKU65492
591,SKU33645
592,SKU59493
594,SKU83653
596,SKU71061
597,SKU14926
599,SKU63473
600,SKU65177
604,SKU61973
611,SKU19349
612,SKU79461
613,SKU48405
614,SKU64296
615,SKU90911
616,SKU68628
617,SKU35787
618,SKU39935
619,SKU19317
621,SKU21588
622,SKU49630
625,SKU54259
626,SKU81223
627,SKU48451
629,SKU90667
630,SKU85043
631,SKU30993
632,SKU97513
633,SKU96456
636,SKU68061
637,SKU27405
638,SKU80593
639,SKU41215
641,SKU93062
643,SKU32133
644,SKU56118
645,SKU65555
646,SKU88173
647,SKU27884
650,SKU62310
651,SKU51392
653,SKU54721
654,SKU89842
655,SKU48908
657,SKU88953
659,SKU45206
660,SKU55197
662,SKU64056
663,SKU48013
664,SKU25558
665,SKU94365
669,SKU99468
670,SKU73054
671,SKU80765
672,SKU43620
674,SKU24489
675,SKU42446
677,SKU15794
680,SKU86314
681,SKU70957
682,SKU28616
683,SKU93162
685,SKU81521
690,SKU84604
692,SKU84909
693,SKU65555
695,SKU99206
696,SKU92381
697,SKU24606
698,SKU88893
699,SKU84244
701,SKU27542
705,SKU13708
707,SKU75996
708,SKU35275
709,SKU21670
710,SKU51058
712,SKU21666
713,SKU50830
714,SKU78943
715,SKU60687
718,SKU13157
719,SKU90000
720,SKU55735
721,SKU77660
722,SKU37162
723,SKU25653
724,SKU82612
726,SKU36210
727,SKU63470
728,SKU16674
730,SKU49337
731,SKU56856
732,SKU46137
733,SKU44785
735,SKU61151
738,SKU78717
740,SKU60280
